sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
21394, 2108743620, -86.10258483886719, -10.072915077209473, -156.4757080078125, -45.271141052246094, -4.584896564483643, 2.36221981048584, -62.43010330200195, -52.82255554199219, -1053.9552001953125, 
21395, 2108751953, -86.61664581298828, -18.750051498413086, -156.6108856201172, -43.42689514160156, -2.9216978549957275, 5.068185806274414, -64.056884765625, -51.24673080444336, -1050.99365234375, 
21396, 2108760286, -87.11593627929688, -27.51949119567871, -156.68270874023438, -41.3420295715332, -5.235859394073486, 2.2980432510375977, -63.262142181396484, -49.830745697021484, -1049.7501220703125, 
21397, 2108768619, -87.67401123046875, -36.11692810058594, -156.63909912109375, -41.780635833740234, -5.835724830627441, 3.6844143867492676, -63.689849853515625, -52.689945220947266, -1054.6341552734375, 
21398, 2108776952, -88.31678009033203, -44.96087646484375, -156.4745330810547, -43.58810043334961, -2.746575355529785, 2.88512921333313, -64.20960235595703, -52.36151123046875, -1058.6533203125, 
21399, 2108785285, -89.12118530273438, -53.481956481933594, -156.11941528320312, -41.486778259277344, -0.3098818063735962, 3.5617756843566895, -64.645751953125, -52.450660705566406, -1057.0816650390625, 
21400, 2108793618, -90.29206848144531, -62.29853057861328, -155.37481689453125, -39.0847282409668, 3.5727128982543945, 3.4560904502868652, -64.55400848388672, -53.181617736816406, -1056.2618408203125, 
21401, 2108801951, -92.19781494140625, -70.74073791503906, -153.88565063476562, -38.21473693847656, 5.507959365844727, 2.7038674354553223, -65.68234252929688, -51.454227447509766, -1055.6671142578125, 
21402, 2108810284, -97.13508605957031, -79.49177551269531, -149.35423278808594, -37.86217498779297, 5.272383213043213, 2.1557211875915527, -65.36412811279297, -54.16538619995117, -1055.75634765625, 
21403, 2108818617, -131.5950469970703, -87.3437728881836, -115.30857849121094, -39.127681732177734, 4.5044403076171875, 3.832629680633545, -68.0787353515625, -51.42688751220703, -1053.251708984375, 
21404, 2108826950, 107.7760009765625, -82.80889892578125, 4.903599262237549, -39.856231689453125, 5.304558277130127, 3.6050198078155518, -66.93382263183594, -54.33910369873047, -1056.926513671875, 
21405, 2108835283, 99.35225677490234, -74.43566131591797, 12.94230842590332, -38.62820053100586, 9.445637702941895, 1.201230525970459, -64.2354507446289, -52.90523147583008, -1057.833984375, 
21406, 2108843616, 96.65646362304688, -65.66935729980469, 15.229375839233398, -40.16325378417969, 11.465134620666504, 2.6778502464294434, -64.7105712890625, -53.88117218017578, -1053.105712890625, 
21407, 2108851949, 95.22632598876953, -57.11603927612305, 16.247835159301758, -41.133766174316406, 12.524031639099121, 3.289717435836792, -65.07177734375, -50.544761657714844, -1057.0504150390625, 
21408, 2108860282, 94.3292007446289, -48.276268005371094, 16.70509910583496, -41.13069534301758, 11.96696949005127, 2.171854257583618, -63.828895568847656, -55.41035842895508, -1058.4051513671875, 
21409, 2108868615, 93.651611328125, -39.615108489990234, 16.961320877075195, -41.448638916015625, 12.280498504638672, -0.6189440488815308, -59.85260009765625, -52.4427375793457, -1056.15478515625, 
21410, 2108876948, 93.06869506835938, -30.78656578063965, 17.084362030029297, -45.476478576660156, 13.400297164916992, 4.241584777832031, -61.37059783935547, -50.26839065551758, -1056.868896484375, 
21411, 2108885281, 92.54363250732422, -21.983455657958984, 17.094348907470703, -47.454593658447266, 15.387979507446289, 4.521463871002197, -61.29448699951172, -51.90791320800781, -1058.0472412109375, 
21412, 2108893614, 92.07376861572266, -13.169046401977539, 17.010419845581055, -46.981754302978516, 16.205110549926758, 0.669765830039978, -59.39252471923828, -52.44205856323242, -1055.0401611328125, 
21413, 2108901947, 91.5555419921875, -4.239941120147705, 16.899465560913086, -48.3456916809082, 15.054508209228516, 2.4579010009765625, -61.722999572753906, -47.36521911621094, -1056.4716796875, 
21414, 2108910280, 91.04833221435547, 4.582437992095947, 16.678098678588867, -49.26104736328125, 14.796708106994629, 2.6401097774505615, -60.73956298828125, -50.86747741699219, -1056.3626708984375, 
21415, 2108918613, 90.47084045410156, 13.659783363342285, 16.40323257446289, -51.86273193359375, 14.470438003540039, 3.814058542251587, -60.520816802978516, -46.20726776123047, -1058.42431640625, 
21416, 2108926946, 89.8326644897461, 22.49170684814453, 15.986283302307129, -52.581703186035156, 14.568334579467773, 1.1404988765716553, -60.962520599365234, -50.64698791503906, -1058.251953125, 
21417, 2108935279, 88.99203491210938, 31.677345275878906, 15.423615455627441, -54.33863830566406, 11.154874801635742, 2.651059627532959, -65.68955993652344, -47.260894775390625, -1057.8223876953125, 
21418, 2108943612, 87.976318359375, 40.47899627685547, 14.622190475463867, -55.798030853271484, 11.029524803161621, 5.339008808135986, -65.02955627441406, -50.06597900390625, -1056.424072265625, 
21419, 2108951945, 86.53041076660156, 49.720638275146484, 13.402922630310059, -55.64094924926758, 13.15199089050293, 1.328690767288208, -64.15306854248047, -47.76015853881836, -1055.789794921875, 
21420, 2108960278, 84.49151611328125, 58.45635223388672, 11.576541900634766, -57.67374801635742, 8.635037422180176, 3.556346893310547, -66.57389831542969, -46.465232849121094, -1053.574462890625, 
21421, 2108968611, 80.70179748535156, 67.65830993652344, 7.977113723754883, -58.73807907104492, 7.520094871520996, 2.3719143867492676, -62.82724380493164, -49.460060119628906, -1056.000244140625, 
21422, 2108976944, 72.82105255126953, 76.1832046508789, 0.27135661244392395, -58.932289123535156, 8.612542152404785, 4.642674922943115, -64.02025604248047, -45.88460922241211, -1057.890380859375, 
21423, 2108985277, 39.870948791503906, 84.06172180175781, -32.45335388183594, -58.97702407836914, 4.527960777282715, 4.236752033233643, -67.0822525024414, -48.24148178100586, -1058.3658447265625, 
21424, 2108993610, -45.58639144897461, 82.90704345703125, -117.71785736083984, -57.343345642089844, 5.045862674713135, 3.0981943607330322, -67.22159576416016, -49.38434982299805, -1060.3175048828125, 
21425, 2109001943, -69.61054229736328, 74.62061309814453, -141.52972412109375, -57.143829345703125, 1.5186210870742798, 3.899420976638794, -65.83783721923828, -51.36198425292969, -1055.957763671875, 
21426, 2109010276, -76.29515838623047, 66.0355453491211, -148.02626037597656, -57.418663024902344, -1.142591953277588, 3.027858018875122, -65.86658477783203, -50.747779846191406, -1058.939697265625, 
21427, 2109018609, -79.63072204589844, 56.877620697021484, -151.11685180664062, -57.689754486083984, 3.0064525604248047, 3.3123884201049805, -68.1588134765625, -52.98373031616211, -1057.040283203125, 
21428, 2109026942, -81.53941345214844, 48.11756896972656, -152.7978973388672, -55.54446792602539, -4.151144504547119, 4.960593223571777, -68.47447204589844, -50.89921569824219, -1055.6124267578125, 
21429, 2109035275, -82.8881607055664, 38.958248138427734, -153.8846893310547, -53.623779296875, -1.7821753025054932, 2.849579334259033, -67.82422637939453, -53.124237060546875, -1060.099609375, 
21430, 2109043608, -83.84567260742188, 30.15819549560547, -154.6143035888672, -53.55926513671875, -1.1333777904510498, 3.1387171745300293, -65.0381088256836, -50.510650634765625, -1055.8160400390625, 
21431, 2109051941, -84.64178466796875, 21.14134407043457, -155.1243133544922, -50.28595733642578, -6.004882335662842, 4.375823974609375, -66.11315155029297, -52.5429573059082, -1056.031005859375, 
21432, 2109060274, -85.29972076416016, 12.313429832458496, -155.4943389892578, -50.645790100097656, -3.638293504714966, 3.1544244289398193, -66.07462310791016, -50.69059753417969, -1057.556396484375, 
21433, 2109068607, -85.88525390625, 3.436687469482422, -155.75320434570312, -48.74042892456055, -6.99479341506958, 3.6494011878967285, -64.36257934570312, -51.0764274597168, -1054.745361328125, 
21434, 2109076940, -86.41620635986328, -5.433581352233887, -155.91563415527344, -48.33915710449219, -6.8009538650512695, 3.947032928466797, -64.00325012207031, -52.21773910522461, -1061.8974609375, 
21435, 2109085273, -86.92893981933594, -14.204050064086914, -155.9940185546875, -46.127685546875, -3.5399489402770996, 3.138400077819824, -62.598854064941406, -52.80747604370117, -1058.0943603515625, 
21436, 2109093606, -87.47309875488281, -23.050392150878906, -156.0012969970703, -42.84291076660156, -2.7360379695892334, 2.2632856369018555, -65.52336120605469, -51.23704147338867, -1058.892822265625, 
21437, 2109101939, -88.04276275634766, -31.73293685913086, -155.9430694580078, -44.404727935791016, -0.3575744032859802, 3.5729236602783203, -65.41216278076172, -48.44194412231445, -1062.1011962890625, 
21438, 2109110272, -88.70926666259766, -40.56309509277344, -155.7146759033203, -42.960052490234375, -1.1564686298370361, 1.4264127016067505, -63.715576171875, -52.39866638183594, -1057.119140625, 
21439, 2109118605, -89.55671691894531, -49.1327018737793, -155.3176727294922, -41.37451171875, 0.45713868737220764, 4.109668731689453, -68.86653900146484, -51.331947326660156, -1060.5245361328125, 
21440, 2109126938, -90.69804382324219, -57.96758270263672, -154.58746337890625, -41.691654205322266, 2.234687566757202, 2.3852126598358154, -66.21363067626953, -49.97809600830078, -1058.8355712890625, 
21441, 2109135271, -92.47882080078125, -66.40782165527344, -153.16844177246094, -38.24864196777344, 1.93586266040802, 1.3845949172973633, -64.7243881225586, -53.5633544921875, -1054.5018310546875, 
21442, 2109143604, -96.12084197998047, -75.21009063720703, -149.9158172607422, -39.23637771606445, 4.215317726135254, 2.335817813873291, -67.28079986572266, -49.11262130737305, -1061.0609130859375, 
21443, 2109151937, -108.38968658447266, -83.4338607788086, -138.00582885742188, -38.017120361328125, 4.917508602142334, 2.0634825229644775, -66.21843719482422, -52.463191986083984, -1057.50634765625, 
21444, 2109160270, 133.9256591796875, -86.37075805664062, -20.700149536132812, -39.77070236206055, 6.630136966705322, 3.9031991958618164, -67.46758270263672, -52.170387268066406, -1057.973388671875, 
21445, 2109168603, 104.38343048095703, -78.5058364868164, 8.473077774047852, -39.923099517822266, 8.708740234375, 1.3346446752548218, -68.1587142944336, -49.19511795043945, -1059.460693359375, 
21446, 2109176936, 99.03217315673828, -69.77677154541016, 13.456347465515137, -39.48030471801758, 10.32215690612793, 1.4453577995300293, -65.18656921386719, -52.46806716918945, -1056.4683837890625, 
21447, 2109185269, 96.74371337890625, -61.251888275146484, 15.363229751586914, -40.875267028808594, 9.722838401794434, 1.2989238500595093, -67.92157745361328, -48.662227630615234, -1058.068115234375, 
21448, 2109193602, 95.41514587402344, -52.425048828125, 16.300559997558594, -40.20236587524414, 12.210659980773926, 1.408393383026123, -64.93583679199219, -51.16487121582031, -1058.309326171875, 
21449, 2109201935, 94.48370361328125, -43.77137756347656, 16.820737838745117, -43.13249206542969, 13.09044075012207, 3.2962615489959717, -66.39128875732422, -49.72382736206055, -1058.765625, 
21450, 2109210268, 93.76190185546875, -34.94054412841797, 17.094423294067383, -44.10383987426758, 14.800561904907227, 2.8844404220581055, -65.6715316772461, -51.06206512451172, -1057.3380126953125, 
21451, 2109218601, 93.14347839355469, -26.157459259033203, 17.24164581298828, -46.222713470458984, 12.783302307128906, 2.615795612335205, -64.92948913574219, -49.41053009033203, -1058.7908935546875, 
21452, 2109226934, 92.58202362060547, -17.341875076293945, 17.277814865112305, -45.46250915527344, 18.110212326049805, 2.4138431549072266, -65.7099838256836, -49.0334358215332, -1055.307861328125, 
21453, 2109235267, 92.04791259765625, -8.458883285522461, 17.221298217773438, -48.899845123291016, 14.245858192443848, 2.7282838821411133, -64.11749267578125, -50.13932800292969, -1054.296630859375, 
21454, 2109243600, 91.51300811767578, 0.3984226882457733, 17.095102310180664, -50.373931884765625, 14.472638130187988, 2.737867593765259, -65.20033264160156, -48.366241455078125, -1060.4503173828125, 
21455, 2109251933, 90.92931365966797, 9.471972465515137, 16.8553524017334, -48.945823669433594, 16.254840850830078, 1.7997031211853027, -64.84258270263672, -51.22315216064453, -1060.695556640625, 
21456, 2109260266, 90.28108978271484, 18.33748435974121, 16.545419692993164, -52.317909240722656, 12.208253860473633, 2.7786293029785156, -68.75867462158203, -47.602684020996094, -1061.97509765625, 
21457, 2109268599, 89.50688171386719, 27.561372756958008, 16.064071655273438, -53.830162048339844, 12.71834659576416, 3.5394070148468018, -66.83743286132812, -49.69533920288086, -1064.8533935546875, 
21458, 2109276932, 88.58634185791016, 36.40448760986328, 15.383155822753906, -55.84466552734375, 12.442800521850586, 3.2664639949798584, -66.99274444580078, -51.937355041503906, -1060.722412109375, 
21459, 2109285265, 87.29373931884766, 45.68381118774414, 14.352890968322754, -57.39052200317383, 9.88943099975586, 3.509430408477783, -69.0475845336914, -51.42318344116211, -1061.5159912109375, 
21460, 2109293598, 85.56117248535156, 54.479148864746094, 12.835834503173828, -55.05622482299805, 12.299590110778809, 3.5276920795440674, -67.80658721923828, -51.17275619506836, -1059.152587890625, 
21461, 2109301931, 82.63983154296875, 63.74748992919922, 10.134132385253906, -56.8201904296875, 5.1481852531433105, 1.874517798423767, -65.61795043945312, -49.41082763671875, -1060.4993896484375, 
21462, 2109310264, 77.22300720214844, 72.42860412597656, 4.897497177124023, -58.66828155517578, 10.89232063293457, 3.624481678009033, -65.22052764892578, -49.33915710449219, -1064.241455078125, 
21463, 2109318597, 60.314334869384766, 81.09607696533203, -11.360482215881348, -59.4936637878418, 6.839942932128906, 3.9019064903259277, -68.44143676757812, -51.526611328125, -1059.0638427734375, 
21464, 2109326930, -13.618103981018066, 85.00103759765625, -85.11434936523438, -59.791717529296875, -0.3099302649497986, 4.282618045806885, -66.1936264038086, -52.09256362915039, -1065.1788330078125, 
21465, 2109335263, -63.595619201660156, 78.13748168945312, -134.88140869140625, -58.938941955566406, 6.393668174743652, 3.281595230102539, -67.0042953491211, -52.146240234375, -1065.5260009765625, 
21466, 2109343596, -73.8937759399414, 69.69890594482422, -144.98779296875, -58.34075927734375, 0.941726565361023, 3.954984426498413, -67.03290557861328, -52.92396545410156, -1060.4599609375, 
21467, 2109351929, -78.36854553222656, 60.49346923828125, -149.22540283203125, -57.22388458251953, -0.0677957683801651, 3.7491612434387207, -68.8269271850586, -54.728084564208984, -1066.2552490234375, 
21468, 2109360262, -80.68685913085938, 51.690738677978516, -151.34579467773438, -57.15342330932617, 1.1556410789489746, 3.0409181118011475, -66.33042907714844, -52.48079299926758, -1062.9520263671875, 
21469, 2109368595, -82.26549530029297, 42.48859405517578, -152.67579650878906, -56.1049690246582, -3.834289312362671, 4.629614353179932, -67.40982818603516, -54.765586853027344, -1063.2493896484375, 
21470, 2109376928, -83.37086486816406, 33.61048889160156, -153.54074096679688, -54.122440338134766, -2.916020631790161, 4.2143473625183105, -68.41412353515625, -52.23957824707031, -1065.7747802734375, 
21471, 2109385261, -84.230712890625, 24.519800186157227, -154.1555633544922, -52.441165924072266, -1.5451465845108032, 2.4512360095977783, -63.56510925292969, -52.69905090332031, -1061.4102783203125, 
21472, 2109393594, -84.94367218017578, 15.662405967712402, -154.5924072265625, -50.482269287109375, -7.899051666259766, 4.55985689163208, -67.4338607788086, -51.4295768737793, -1061.3480224609375, 
21473, 2109401927, -85.5660171508789, 6.675873279571533, -154.8959197998047, -50.263946533203125, -4.784605503082275, 4.575034141540527, -64.97764587402344, -53.3187370300293, -1064.111083984375, 
21474, 2109410260, -86.10232543945312, -2.2048511505126953, -155.11514282226562, -49.16929626464844, -5.529947757720947, 2.5475854873657227, -63.27623748779297, -51.39682388305664, -1063.3389892578125, 
21475, 2109418593, -86.66663360595703, -11.081316947937012, -155.25125122070312, -47.02513122558594, -9.464303016662598, 4.070924758911133, -68.12076568603516, -51.44258499145508, -1067.66259765625, 
21476, 2109426926, -87.18924713134766, -20.03718376159668, -155.328125, -48.350154876708984, -3.900648593902588, 5.230731010437012, -65.13908386230469, -48.93861389160156, -1072.192626953125, 
21477, 2109435259, -87.75651550292969, -28.81363868713379, -155.2471160888672, -46.04070281982422, -1.185980200767517, 2.490826368331909, -63.99543762207031, -56.61651611328125, -1071.39501953125, 
21478, 2109443592, -88.3886489868164, -37.736228942871094, -155.1188507080078, -43.75825881958008, 2.4712624549865723, 3.426618814468384, -67.3251724243164, -49.111366271972656, -1068.22802734375, 
21479, 2109451925, -89.15775299072266, -46.386173248291016, -154.80348205566406, -42.719783782958984, 0.7636202573776245, 1.6195406913757324, -67.66918182373047, -52.21994400024414, -1069.0936279296875, 
21480, 2109460258, -90.20067596435547, -55.30588150024414, -154.1851348876953, -40.9037971496582, 2.2205467224121094, 2.74631667137146, -67.38070678710938, -53.11458969116211, -1068.627685546875, 
21481, 2109468591, -91.70767974853516, -63.872276306152344, -153.09445190429688, -40.69367218017578, 0.28042247891426086, 3.6950314044952393, -68.9442138671875, -51.26062774658203, -1068.7410888671875, 
21482, 2109476924, -94.62998962402344, -72.7635498046875, -150.5637969970703, -38.39808654785156, 0.5085899829864502, 2.746273994445801, -67.57971954345703, -53.38699722290039, -1069.831787109375, 
21483, 2109485257, -102.38792419433594, -81.1703872680664, -143.18580627441406, -38.137359619140625, 5.598516941070557, 2.260671377182007, -67.888916015625, -50.95850372314453, -1068.948974609375, 
21484, 2109493590, 172.3692169189453, -87.62216186523438, -58.31584930419922, -39.957984924316406, 5.371285438537598, 3.080059289932251, -66.72648620605469, -52.15959930419922, -1069.463623046875, 
21485, 2109501923, 106.98180389404297, -80.65035247802734, 6.6719818115234375, -41.61149215698242, 8.713841438293457, 2.3503921031951904, -70.74520874023438, -51.60176086425781, -1074.4381103515625, 
21486, 2109510256, 99.69268035888672, -71.81900787353516, 13.569412231445312, -40.888099670410156, 8.127280235290527, 0.9604942798614502, -68.2967529296875, -52.54253005981445, -1073.3265380859375, 
21487, 2109518589, 97.10493469238281, -63.20055389404297, 15.778772354125977, -43.048587799072266, 8.505041122436523, 3.113835573196411, -66.39387512207031, -52.67177200317383, -1072.4075927734375, 
21488, 2109526922, 95.59961700439453, -54.2358283996582, 16.881887435913086, -43.62582015991211, 11.361947059631348, 2.658391237258911, -67.10138702392578, -50.86698913574219, -1075.2835693359375, 
21489, 2109535255, 94.64852142333984, -45.47959899902344, 17.42449378967285, -42.41266632080078, 14.379690170288086, 0.03409971296787262, -64.91053009033203, -53.789794921875, -1073.61083984375, 
21490, 2109543588, 93.87590026855469, -36.546661376953125, 17.7681941986084, -45.46258544921875, 16.160846710205078, 1.9471282958984375, -65.50762939453125, -48.83003234863281, -1069.8603515625, 
21491, 2109551921, 93.24607849121094, -27.674413681030273, 17.91489601135254, -46.73003005981445, 15.124979019165039, 3.9676570892333984, -66.23150634765625, -52.17081069946289, -1071.5318603515625, 
21492, 2109560254, 92.70304107666016, -18.7053165435791, 17.940061569213867, -47.4209098815918, 13.322175979614258, 2.9156084060668945, -63.915645599365234, -53.30494689941406, -1073.544921875, 
21493, 2109568587, 92.16497802734375, -9.680496215820312, 17.899459838867188, -47.73099899291992, 14.599546432495117, 2.0069684982299805, -64.3131332397461, -51.037376403808594, -1072.9932861328125, 
21494, 2109576920, 91.63196563720703, -0.6935988068580627, 17.781108856201172, -51.28217697143555, 14.137216567993164, 3.0404255390167236, -65.18930053710938, -50.10602569580078, -1075.9227294921875, 
21495, 2109585253, 91.06515502929688, 8.504929542541504, 17.575286865234375, -53.0676155090332, 15.658453941345215, 2.7703206539154053, -63.7590446472168, -50.093299865722656, -1077.1639404296875, 
21496, 2109593586, 90.45114135742188, 17.487966537475586, 17.274513244628906, -54.533287048339844, 14.720892906188965, 1.883819341659546, -65.48003387451172, -49.69279479980469, -1075.960205078125, 
21497, 2109601919, 89.6991958618164, 26.820165634155273, 16.819255828857422, -54.570430755615234, 13.744670867919922, 2.511741876602173, -66.10016632080078, -50.84221267700195, -1077.9761962890625, 
21498, 2109610252, 88.80862426757812, 35.820343017578125, 16.193265914916992, -55.96544647216797, 12.681722640991211, 5.327640533447266, -67.63298797607422, -50.39927673339844, -1079.31005859375, 
21499, 2109618585, 87.56510162353516, 45.26300811767578, 15.221768379211426, -55.894737243652344, 10.741402626037598, 1.9128154516220093, -68.54820251464844, -50.82810974121094, -1080.8348388671875, 
21500, 2109626918, 85.88983154296875, 54.226383209228516, 13.78204345703125, -58.14383316040039, 10.54969310760498, 3.7273387908935547, -68.70452117919922, -50.403682708740234, -1078.71533203125, 
21501, 2109635251, 83.06067657470703, 63.634544372558594, 11.187356948852539, -60.33106994628906, 7.637483596801758, 3.568510055541992, -66.63693237304688, -49.23430252075195, -1076.10009765625, 
21502, 2109643584, 77.80025482177734, 72.44738006591797, 6.133482456207275, -60.97301483154297, 8.224590301513672, 2.955716371536255, -66.99129486083984, -48.3736457824707, -1078.131103515625, 
21503, 2109651917, 61.043907165527344, 81.29024505615234, -10.4124174118042, -60.99950408935547, 7.491239547729492, 4.965681076049805, -63.1612663269043, -50.25302505493164, -1075.105224609375, 
21504, 2109660250, -17.111652374267578, 85.13087463378906, -88.35030364990234, -59.90418243408203, 3.786963939666748, 3.8659327030181885, -69.55463409423828, -50.538230895996094, -1081.9229736328125, 
21505, 2109668583, -65.2613296508789, 77.87788391113281, -136.2861328125, -59.10885238647461, 5.864118576049805, 3.005697727203369, -66.27084350585938, -52.012237548828125, -1081.6175537109375, 
21506, 2109676916, -74.87995147705078, 69.2229995727539, -145.68173217773438, -60.767913818359375, -0.18262313306331635, 4.397697925567627, -69.5706787109375, -52.95042419433594, -1080.5582275390625, 
21507, 2109685249, -79.0426025390625, 59.870052337646484, -149.59254455566406, -59.85493850708008, 0.2386801838874817, 3.4946024417877197, -69.48963165283203, -54.043853759765625, -1082.0894775390625, 
21508, 2109693582, -81.24467468261719, 50.943016052246094, -151.54998779296875, -58.16274642944336, -1.8592267036437988, 4.191686630249023, -70.22196197509766, -52.05703353881836, -1076.704833984375, 
21509, 2109701915, -82.74413299560547, 41.58967971801758, -152.79164123535156, -56.71095275878906, -2.642406463623047, 3.4169137477874756, -67.93878936767578, -52.43352508544922, -1081.7025146484375, 
21510, 2109710248, -83.76200866699219, 32.58307647705078, -153.57374572753906, -56.7529182434082, 1.0914806127548218, 2.6515438556671143, -65.3117904663086, -52.77415084838867, -1080.6485595703125, 
21511, 2109718581, -84.61801147460938, 23.343547821044922, -154.12681579589844, -54.41409683227539, -6.7877373695373535, 5.257621765136719, -68.408447265625, -52.938873291015625, -1080.9617919921875, 
21512, 2109726914, -85.30805969238281, 14.29179859161377, -154.48342895507812, -52.669647216796875, -3.5129282474517822, 4.497628211975098, -68.89131164550781, -55.200252532958984, -1084.130126953125, 
21513, 2109735247, -85.92478942871094, 5.186660289764404, -154.7496337890625, -50.70267105102539, -2.9337475299835205, 4.266057014465332, -66.98783874511719, -51.881587982177734, -1080.8624267578125, 
21514, 2109743580, -86.50672149658203, -3.8700907230377197, -154.91693115234375, -49.833194732666016, -5.91422700881958, 3.7221617698669434, -69.53215789794922, -51.9017219543457, -1084.3245849609375, 
21515, 2109751913, -87.0413818359375, -12.850589752197266, -155.0057373046875, -49.36176300048828, -3.1028199195861816, 0.7854887247085571, -65.3944091796875, -50.826011657714844, -1082.8038330078125, 
21516, 2109760246, -87.6042251586914, -21.894445419311523, -154.96942138671875, -46.018402099609375, -5.006259918212891, 3.87924861907959, -66.17312622070312, -55.07490158081055, -1082.4420166015625, 
21517, 2109768579, -88.21537017822266, -30.804668426513672, -154.8500518798828, -46.222042083740234, -3.7559561729431152, 2.4740941524505615, -67.2820053100586, -53.28010940551758, -1089.99072265625, 
