DeviceID;Timestamp;Temperature;GyroX;GyroY;GyroZ;AccelX;AccelY;AccelZ;Dist1;Dist2;Dist3;Err1;Err2;Err3
4.0;1753877968.299848;17.924836;0.67;-1.13;0.03;0.931394;-0.363185;0.011199;92.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.304454;17.913372;0.63;-1.19;0.11;0.927866;-0.360704;0.010494;87.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.30906;17.886806;0.57;-1.32;0.08;0.932036;-0.363574;0.011154;88.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.313666;17.906361;0.7;-1.13;0.05;0.929074;-0.36611;0.010132;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.318272;17.888988;0.74;-1.18;0.15;0.930944;-0.363285;0.01187;90.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.322878;17.887258;0.7;-1.2;0.07;0.931975;-0.366672;0.011683;87.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.327484;17.917105;0.62;-1.13;0.15;0.925576;-0.362563;0.013506;86.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.33209;17.875899;0.67;-1.2;-0.05;0.928155;-0.364141;0.012358;86.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.336696;17.873332;0.69;-1.17;-0.04;0.93216;-0.365755;0.010303;91.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.341302;17.885347;0.7;-1.27;0.05;0.93078;-0.363034;0.010355;87.9;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.345908;17.908031;0.81;-1.17;0.05;0.928617;-0.360705;0.010734;87.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.350514;17.89416;0.75;-1.19;0.04;0.928415;-0.358498;0.010486;88.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.35512;17.90681;0.73;-1.15;-0.0;0.93253;-0.357174;0.011594;85.9;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.359726;17.910091;0.72;-1.04;0.1;0.930921;-0.35959;0.012923;88.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.364332;17.894679;0.62;-1.15;0.03;0.92966;-0.358603;0.01207;91.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.368938;17.894147;0.71;-1.14;0.1;0.93033;-0.364161;0.009388;90.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.373544;17.906371;0.74;-1.14;0.14;0.934748;-0.363484;0.010076;88.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.37815;17.911499;0.67;-1.16;0.17;0.932885;-0.360268;0.013419;87.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.382756;17.913356;0.66;-1.21;0.04;0.928666;-0.359562;0.010343;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.387362;17.905332;0.63;-1.08;0.06;0.932195;-0.356731;0.010884;89.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.391968;17.88485;0.66;-1.13;0.12;0.929044;-0.366631;0.012358;90.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.396574;17.915409;0.71;-1.09;0.02;0.930035;-0.36139;0.011357;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.40118;17.885244;0.75;-1.19;0.04;0.930734;-0.360341;0.011509;89.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.405786;17.91285;0.7;-1.12;0.06;0.93221;-0.361787;0.011316;90.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.410392;17.900752;0.69;-1.21;0.16;0.93138;-0.361971;0.010268;90.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.414998;17.897147;0.6;-1.14;0.1;0.932422;-0.360421;0.011426;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.419604;17.907157;0.67;-1.16;0.11;0.930983;-0.359514;0.011044;89.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.42421;17.904963;0.7;-1.08;0.02;0.930219;-0.360532;0.012854;86.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.428816;17.8986;0.7;-1.11;0.04;0.93068;-0.360295;0.010198;88.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.433422;17.895623;0.72;-1.2;0.16;0.930376;-0.362945;0.012812;88.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.438028;17.904216;0.69;-1.17;0.08;0.929533;-0.359978;0.011458;90.4;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.442634;17.893056;0.76;-1.19;0.16;0.932035;-0.355904;0.010572;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.44724;17.897798;0.72;-1.19;-0.03;0.930051;-0.361558;0.009219;90.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.451846;17.90888;0.69;-1.23;0.04;0.930871;-0.362251;0.011365;88.4;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.456452;17.889474;0.79;-1.25;0.13;0.932037;-0.366108;0.010674;87.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.461058;17.890848;0.74;-1.17;0.09;0.932064;-0.360991;0.009867;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.465664;17.936712;0.7;-1.26;0.02;0.931782;-0.367268;0.010484;88.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.47027;17.904136;0.72;-1.16;0.1;0.929279;-0.360834;0.010453;89.9;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.474876;17.903235;0.62;-1.08;0.03;0.929487;-0.360535;0.009956;88.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.479482;17.891717;0.85;-1.13;0.08;0.932385;-0.35955;0.00846;87.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.484088;17.903168;0.65;-1.09;0.03;0.93396;-0.356465;0.012114;90.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.488694;17.902615;0.77;-1.15;0.03;0.930233;-0.356315;0.009697;89.9;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.4933;17.908618;0.78;-1.11;-0.0;0.93201;-0.357483;0.011796;91.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.497906;17.900052;0.71;-1.16;-0.01;0.930434;-0.354054;0.009383;88.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.502512;17.897031;0.67;-1.17;0.04;0.930605;-0.355966;0.010006;91.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.507118;17.896647;0.66;-1.2;0.08;0.930339;-0.354835;0.009371;88.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.511724;17.909017;0.62;-1.12;0.14;0.928154;-0.355041;0.00984;90.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.51633;17.907525;0.63;-1.13;0.05;0.933026;-0.356216;0.011115;87.4;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.520936;17.906379;0.67;-1.14;0.02;0.933627;-0.362163;0.012949;89.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.525542;17.898349;0.72;-1.2;0.11;0.932256;-0.361391;0.008564;89.9;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.530148;17.904192;0.66;-1.21;0.03;0.930559;-0.362244;0.011693;88.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.534754;17.925587;0.78;-1.11;0.05;0.932024;-0.359379;0.010444;90.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.53936;17.905215;0.68;-1.05;-0.11;0.930012;-0.355009;0.009241;88.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.543966;17.890516;0.77;-1.14;-0.19;0.932434;-0.356194;0.010254;88.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.548572;17.888005;0.7;-1.11;0.0;0.932287;-0.355831;0.011578;91.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.553178;17.898923;0.65;-1.15;0.02;0.929649;-0.360367;0.010455;89.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.557784;17.916372;0.65;-1.1;0.04;0.932641;-0.362531;0.010049;88.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.56239;17.892961;0.73;-1.13;-0.03;0.932073;-0.358463;0.009365;90.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.566996;17.924838;0.76;-1.13;0.08;0.930531;-0.35635;0.010933;88.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.571602;17.923337;0.64;-1.22;0.06;0.929418;-0.359714;0.011529;85.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.576208;17.896742;0.63;-1.12;0.06;0.932146;-0.355558;0.011326;90.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.580814;17.889425;0.79;-1.07;0.08;0.931926;-0.355155;0.008927;89.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.58542;17.918437;0.68;-1.18;0.07;0.927842;-0.360633;0.010851;86.9;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.590026;17.943133;0.63;-1.15;-0.01;0.92869;-0.359824;0.009697;86.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.594633;17.892512;0.8;-1.16;-0.04;0.930204;-0.356773;0.008404;88.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.599239;17.891774;0.76;-1.09;-0.08;0.933388;-0.354831;0.009614;88.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.603845;17.886078;0.68;-1.08;-0.04;0.931461;-0.352522;0.011418;91.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.608451;17.896243;0.6;-1.14;-0.08;0.934961;-0.357516;0.011763;85.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.613057;17.895945;0.65;-1.14;0.06;0.933841;-0.357843;0.009499;90.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.617663;17.907857;0.6;-1.15;0.11;0.935148;-0.355266;0.010666;92.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.622269;17.90036;0.71;-1.12;0.0;0.930403;-0.355834;0.01101;87.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.626875;17.91543;0.73;-1.13;0.13;0.934025;-0.353821;0.008954;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.631481;17.915338;0.72;-1.01;0.0;0.932779;-0.354314;0.011839;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.636087;17.884445;0.62;-1.11;-0.02;0.933232;-0.356631;0.009231;87.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.640693;17.895575;0.78;-1.13;0.05;0.93189;-0.352221;0.009224;92.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.645299;17.911112;0.76;-1.09;0.01;0.933851;-0.357479;0.01017;90.9;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.649905;17.919504;0.73;-1.14;-0.04;0.931868;-0.361931;0.008428;87.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.654511;17.904326;0.62;-1.13;0.05;0.933662;-0.358228;0.010314;91.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.659117;17.902446;0.69;-1.11;0.13;0.935434;-0.356856;0.009185;88.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.663723;17.894052;0.65;-1.12;0.06;0.933459;-0.358373;0.009512;90.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.668329;17.88903;0.62;-1.05;-0.02;0.931233;-0.359214;0.010086;88.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.672935;17.904875;0.61;-1.09;-0.01;0.935619;-0.354086;0.009561;87.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.677541;17.904523;0.63;-1.14;-0.1;0.934492;-0.353131;0.009764;88.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.682147;17.903768;0.65;-1.16;0.03;0.932901;-0.358183;0.009059;90.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.686753;17.886634;0.64;-1.08;-0.04;0.933714;-0.354669;0.007554;90.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.691359;17.919208;0.78;-1.14;0.1;0.934414;-0.351557;0.008945;88.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.695965;17.92572;0.74;-1.11;-0.01;0.933172;-0.360226;0.00981;91.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.700571;17.905316;0.72;-1.14;0.05;0.932538;-0.353423;0.009079;90.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.705177;17.909844;0.73;-1.11;0.09;0.931996;-0.352529;0.010593;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.709783;17.902193;0.81;-1.08;-0.08;0.92895;-0.355859;0.009977;88.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.7168;17.902344;0.7;-1.12;0.0;0.933788;-0.354654;0.009272;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.721406;17.897466;0.65;-1.12;0.01;0.934973;-0.356911;0.008272;89.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.726012;17.930953;0.74;-1.08;0.06;0.936634;-0.35966;0.011966;89.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.730618;17.877738;0.82;-1.07;0.13;0.935323;-0.358421;0.009871;89.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.735224;17.897293;0.72;-1.17;0.04;0.932678;-0.358767;0.010015;89.1;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.73983;17.909436;0.68;-1.18;0.06;0.933936;-0.353521;0.007466;88.4;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.744436;17.894572;0.6;-1.09;-0.01;0.933611;-0.356768;0.01156;88.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.749042;17.894758;0.62;-1.09;0.03;0.930661;-0.356403;0.007477;89.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.753648;17.89227;0.65;-1.04;0.11;0.930662;-0.358535;0.009566;87.8;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.758254;17.90106;0.65;-1.2;0.08;0.932875;-0.359545;0.009421;89.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.76286;17.878933;0.7;-1.16;-0.1;0.934925;-0.359035;0.010775;87.4;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.767466;17.903656;0.64;-1.07;0.13;0.933611;-0.360165;0.008297;89.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.772072;17.881035;0.73;-1.21;0.04;0.933516;-0.356689;0.00938;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.776678;17.898033;0.62;-1.18;0.06;0.933411;-0.359905;0.008466;88.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.781284;17.882934;0.65;-1.21;0.01;0.932294;-0.356824;0.008193;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.78589;17.908841;0.65;-1.21;0.18;0.933728;-0.358929;0.009125;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.790496;17.887982;0.69;-1.22;0.11;0.933295;-0.357631;0.009577;88.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.795102;17.891105;0.68;-1.15;0.07;0.932693;-0.359858;0.010134;88.9;0.0;0.0;1.0;0.0;0.0
