sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
522, 2171399447, -77.53900146484375, 41.66716003417969, -144.64605712890625, -6.499417781829834, -6.7391276359558105, 1.3167734146118164, 0.4226604700088501, 0.477603018283844, 2.081591844558716, 
523, 2171407780, -77.53933715820312, 41.667110443115234, -144.6431884765625, -6.990208625793457, -6.871163845062256, 1.4758317470550537, -0.3362252116203308, -0.48112499713897705, 1.5424377918243408, 
524, 2171416113, -77.54891204833984, 41.65680694580078, -144.6451873779297, -6.749558448791504, -7.3917765617370605, 1.375048279762268, -1.0272459983825684, -0.359226793050766, 0.2892102897167206, 
525, 2171424446, -77.54495239257812, 41.65129852294922, -144.6379852294922, -6.289459228515625, -7.5072808265686035, 1.6477718353271484, -0.16845200955867767, -1.0011707544326782, 0.9828693270683289, 
526, 2171432779, -77.53833770751953, 41.656349182128906, -144.63876342773438, -5.94305944442749, -7.373819828033447, 1.6786410808563232, 0.779441237449646, -0.11363756656646729, 2.124905824661255, 
527, 2171441112, -77.53294372558594, 41.66275405883789, -144.63963317871094, -6.117885589599609, -6.9964704513549805, 1.6284780502319336, 0.6511651277542114, 0.014497658237814903, 2.223597288131714, 
528, 2171449445, -77.53844451904297, 41.667335510253906, -144.64854431152344, -6.838932514190674, -6.782227993011475, 1.4417763948440552, 0.01869839057326317, 0.6356683969497681, 1.9023178815841675, 
529, 2171457778, -77.54325103759766, 41.660972595214844, -144.64581298828125, -6.8266448974609375, -7.145897388458252, 1.3375601768493652, -0.8636735081672668, -0.6326331496238708, 0.7966538667678833, 
530, 2171466111, -77.54522705078125, 41.65297317504883, -144.64273071289062, -6.622001647949219, -7.360311031341553, 1.5904561281204224, -0.522107720375061, -0.7465652823448181, 0.65943843126297, 
531, 2171474444, -77.53970336914062, 41.65424346923828, -144.6426544189453, -6.003623008728027, -7.4687957763671875, 1.5782862901687622, 0.5916633009910583, -0.2021859735250473, 1.641385793685913, 
532, 2171482777, -77.53243255615234, 41.66017150878906, -144.64039611816406, -5.943079948425293, -7.204331874847412, 1.529312014579773, 0.6332607269287109, -0.33668631315231323, 2.28094744682312, 
533, 2171491110, -77.53557586669922, 41.66713333129883, -144.6495361328125, -6.498767852783203, -6.5848259925842285, 1.3705588579177856, 0.28365203738212585, 0.7549283504486084, 2.128901481628418, 
534, 2171499443, -77.53543090820312, 41.66273880004883, -144.64585876464844, -6.880126953125, -7.0147857666015625, 1.3863780498504639, -0.304847776889801, -0.6961565017700195, 1.0932412147521973, 
535, 2171507776, -77.54383850097656, 41.65370559692383, -144.64874267578125, -6.774171352386475, -7.421024322509766, 1.5796338319778442, -0.8486891984939575, -0.2107667326927185, 0.37542787194252014, 
536, 2171516109, -77.53956604003906, 41.651248931884766, -144.64297485351562, -6.203710079193115, -7.601761341094971, 1.7096084356307983, 0.07382022589445114, -0.7715647220611572, 1.3468220233917236, 
537, 2171524442, -77.53304290771484, 41.658164978027344, -144.6439971923828, -5.938088893890381, -7.298200607299805, 1.4743775129318237, 0.7978578209877014, 0.04105961695313454, 2.2819721698760986, 
538, 2171532775, -77.53132629394531, 41.663944244384766, -144.6476593017578, -6.357541561126709, -6.701843738555908, 1.3970310688018799, 0.4595705568790436, 0.2011485993862152, 2.1428611278533936, 
539, 2171541108, -77.53184509277344, 41.6636848449707, -144.6473388671875, -6.850541591644287, -6.831235885620117, 1.5129766464233398, -0.1541336476802826, -0.26240500807762146, 1.4667223691940308, 
540, 2171549441, -77.54212188720703, 41.65427017211914, -144.6491241455078, -6.729215621948242, -7.303310394287109, 1.4400031566619873, -1.1128745079040527, -0.3376084268093109, 0.39556068181991577, 
541, 2171557774, -77.5394515991211, 41.649803161621094, -144.64430236816406, -6.3271050453186035, -7.513768196105957, 1.6070075035095215, -0.13077346980571747, -0.7670822739601135, 1.0616075992584229, 
542, 2171566107, -77.53421783447266, 41.655391693115234, -144.64630126953125, -6.0332932472229, -7.383841037750244, 1.6666322946548462, 0.7692979574203491, 0.07082335650920868, 2.1482913494110107, 
543, 2171574440, -77.5283203125, 41.66189193725586, -144.64476013183594, -6.1850152015686035, -7.026759624481201, 1.5591930150985718, 0.5168184041976929, -0.19593606889247894, 2.283022403717041, 
544, 2171582773, -77.53479766845703, 41.66648864746094, -144.65460205078125, -6.834741592407227, -6.683677673339844, 1.3764311075210571, -0.014356778003275394, 0.7320804595947266, 1.8816217184066772, 
545, 2171591106, -77.53909301757812, 41.65994644165039, -144.65122985839844, -6.777568817138672, -7.086392879486084, 1.3010234832763672, -0.851455569267273, -0.6935438513755798, 0.7901223301887512, 
