DeviceID;Timestamp;Temperature;GyroX;GyroY;GyroZ;AccelX;AccelY;AccelZ;Dist1;Dist2;Dist3;Err1;Err2;Err3
4.0;1753881466.60129;17.560043;0.07;-0.53;-138.37;0.87893;0.573919;0.116208;-30.7;0.0;0.0;1.7;0.0;0.0
4.0;1753881466.605894;17.534858;-0.66;0.33;-110.47;0.564356;0.984692;0.093579;29.7;0.0;0.0;-14.3;0.0;0.0
4.0;1753881466.610498;17.50874;1.1;0.86;-110.09;0.510451;0.690607;0.01173;-79.2;0.0;0.0;15.7;0.0;0.0
4.0;1753881466.615102;17.518354;-0.02;0.12;-132.03;0.423818;0.763461;0.004095;59.5;0.0;0.0;-11.2;0.0;0.0
4.0;1753881466.619707;17.530957;-3.05;-0.95;-120.09;0.642415;1.245489;-0.057977;-62.3;0.0;0.0;1.3;0.0;0.0
4.0;1753881466.624311;17.555729;0.44;1.83;-124.0;0.596444;1.48236;-0.08785;46.6;0.0;0.0;9.9;0.0;0.0
4.0;1753881466.628915;17.547748;-0.39;1.32;-124.43;0.534006;1.047611;0.087585;-20.3;0.0;0.0;12.7;0.0;0.0
4.0;1753881466.633519;17.580704;0.95;0.26;-139.46;0.599799;0.688128;-0.064558;-130.4;0.0;0.0;-1.7;0.0;0.0
4.0;1753881466.638123;17.549192;-1.82;1.67;-127.0;0.314789;0.736611;0.182869;70.4;0.0;0.0;-14.7;0.0;0.0
4.0;1753881466.642727;17.583761;0.03;1.98;-100.53;0.697665;0.946679;0.017168;3.1;0.0;0.0;22.9;0.0;0.0
4.0;1753881466.647331;17.575082;-2.12;1.94;-124.84;0.593582;0.801061;0.076169;9.0;0.0;0.0;6.4;0.0;0.0
4.0;1753881466.651935;17.549841;-2.18;2.0;-144.48;0.46681;0.63717;-0.053076;-25.0;0.0;0.0;5.1;0.0;0.0
4.0;1753881466.65654;17.561476;-1.72;2.89;-128.87;0.581901;1.002491;0.070004;48.9;0.0;0.0;-2.6;0.0;0.0
4.0;1753881466.661144;17.528329;2.37;2.59;-114.56;0.45748;0.581719;-0.0405;-52.3;0.0;0.0;1.9;0.0;0.0
4.0;1753881466.665748;17.541257;0.4;1.2;-131.43;0.680266;1.007508;-0.012314;-32.5;0.0;0.0;4.3;0.0;0.0
4.0;1753881466.670352;17.538843;2.14;0.83;-124.55;0.459366;0.735576;0.026482;19.8;0.0;0.0;-3.9;0.0;0.0
4.0;1753881466.674956;17.538743;1.43;2.47;-144.82;0.624091;0.634814;0.012753;32.0;0.0;0.0;-12.6;0.0;0.0
4.0;1753881466.67956;17.596102;-0.34;1.03;-122.88;0.382609;1.06101;-0.022055;-88.3;0.0;0.0;-15.0;0.0;0.0
4.0;1753881466.684164;17.56328;-0.37;1.97;-88.91;0.461962;0.671082;0.064065;-79.7;0.0;0.0;16.1;0.0;0.0
4.0;1753881466.6911;17.546875;-0.14;1.61;-119.49;0.563396;0.808128;0.054656;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1753881466.695704;17.528912;1.48;0.68;-99.63;0.529261;0.827623;0.015998;-16.3;0.0;0.0;11.7;0.0;0.0
4.0;1753881466.700308;17.540596;0.6;0.55;-87.42;0.690731;0.808982;0.14414;-7.6;0.0;0.0;15.2;0.0;0.0
